Sentence #,Word,Tag
Sentence: 1,Buy,contractType
,200,itemQty
,MT,itemQtyUnitId
,cotton,productId
,of,o
,quality,o
,Cotton-A-Dry,quality
,with,o
,tolerance,o
,2,tolerance
,%,toleranceType
,buyer,toleranceLevel
,at,o
,120,priceDf
,USD/MT,priceUnitId
,flat,priceTypeId
,",",o
,settled,o
,in,o
,AUD,payInCurId
,.,o
Sentence: 2,Buy,contractType
,200,itemQty
,MT,itemQtyUnitId
,cotton,productId
,of,o
,quality,o
,Cotton-A-Dry,quality
,with,o
,tolerance,o
,2,tolerance
,%,toleranceType
,buyer,toleranceLevel
,at,o
,120,priceDf
,USD/MT,priceUnitId
,flat,priceTypeId
,",",o
,settled,o
,in,o
,AUD,payInCurId
,.,o
Sentence: 3,cotton,productId
,120,priceDf
,USD/MT,priceUnitId
,.,o
Sentence: 4,cotton,productId
,200,itemQty
,MT,itemQtyUnitId
,.,o
Sentence: 5,tolerance,o
,2,tolerance
,%,toleranceType
,.,o
Sentence: 6,cotton,productId
,of,o
,quality,o
,Cotton-A-Dry,quality
,.,o
Sentence: 7,Buy,contractType
,200,itemQty
,BBL,itemQtyUnitId
,crude,productId
,oil,productId
,of,o
,quality,o
,Crude,quality
,oil,quality
,#NAME?,quality
,with,o
,tolerance,o
,2,tolerance
,%,toleranceType
,buyer,toleranceLevel
,at,o
,120,priceDf
,USD/MT,priceUnitId
,flat,priceTypeId
,",",o
,settled,o
,in,o
,AUD,payInCurId
,.,o
Sentence: 8,truck,shipmentMode
,.,o
Sentence: 9,rail,shipmentMode
,.,o
Sentence: 10,through,o
,shipment,o
,mode,o
,truck,shipmentMode
,.,o
Sentence: 11,shipment,o
,mode,o
,truck,shipmentMode
,.,o
Sentence: 12,Buy,contractType
,barley,productId
,at,o
,120,priceDf
,USD/MT,priceUnitId
,.,o
Sentence: 13,Buy,contractType
,200,itemQty
,MT,itemQtyUnitId
,cotton,productId
,with,o
,at,o
,flat,priceTypeId
,price,o
,of,o
,120,priceDf
,USD,payInCurId
,at,o
,tolerance,o
,2,tolerance
,%,toleranceType
,buyer,toleranceLevel
,through,o
,truck,shipmentMode
,from,o
,Australia,originationCountryId
,to,o
,China,destinationCountryId
,.,o
Sentence: 14,Buy,contractType
,barley,productId
,at,o
,120,priceDf
,USD/MT,priceUnitId
,.,o
Sentence: 15,Buy,contractType
,200,itemQty
,MT,itemQtyUnitId
,barley,productId
,with,o
,at,o
,flat,priceTypeId
,price,o
,of,o
,120,priceDf
,USD,payInCurId
,at,o
,tolerance,o
,2,tolerance
,%,toleranceType
,buyer,toleranceLevel
,through,o
,truck,shipmentMode
,from,o
,england,originationCountryId
,to,o
,france,destinationCountryId
,.,o
Sentence: 16,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,CIF,incotermId
,.,o
Sentence: 17,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,CFR,incotermId
,.,o
Sentence: 18,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,CPT,incotermId
,.,o
Sentence: 19,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,DAF,incotermId
,.,o
Sentence: 20,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,DDP,incotermId
,.,o
Sentence: 21,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,DDU,incotermId
,.,o
Sentence: 22,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,DEQ,incotermId
,.,o
Sentence: 23,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,DES,incotermId
,.,o
Sentence: 24,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,EXW,incotermId
,.,o
Sentence: 25,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,FAS,incotermId
,.,o
Sentence: 26,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,FCA,incotermId
,.,o
Sentence: 27,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,FOB,incotermId
,.,o
Sentence: 28,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,CIF,incotermId
,.,o
Sentence: 29,Buy,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
,with,o
,English,applicableLawId
,Law,applicableLawId
,at,o
,CIF,incotermId
,.,o
Sentence: 30,Sell,contractType
,20,itemQty
,MT,itemQtyUnitId
,for,o
,flat,priceTypeId
,price,o
,of,o
,200,priceDf
,USD,payInCurId
,of,o
,Barley,productId
,of,o
,quality,o
,Balie,quality
,genie,quality
,for,o
,Karthik,traderUserId
,Aradhya,traderUserId
,from,o
,Kirfjohl,cpProfileId
,with,o
,21,paymentTermId
,days,paymentTermId
